"Parasite.species","parasite_genus","parasite_family","parasite_order","parasite_class","parasite_phylum","tree_tips","Host.no","Host_no_fac","Stage","SpSt","assumed_stage","Def.int","Facultative","num_hosts","host_phylum","host_class","host_bm","host_tl","endo_ecto","prop_endo","vert_invert","habitat","prop_terr","Site","body_cavity","gi_tract","gi_wall","pulmonary","biliary","urinary","enclosed","lcl_max","lcl_max_fac","initial_biov","initial_length","initial_width","biovolume","avg_length","avg_width","avg_dt","avg_temp","avg_dd","missing_stage_size","missing_stage_devo","imp_biovolume","imp_avg_length","imp_avg_width","imp_initial_biov","imp_initial_length","imp_initial_width","imp_avg_dt","imp_avg_temp","imp_avg_dd"
"Abbreviata antarctica","Abbreviata","Physalopteridae","Spirurida","Chromadorea","Nematoda","Abbreviata_antarctica",1,"1","1larv","Abbreviata antarctica_1_1larv_int","no","int","no",2,"Arthropoda","Insecta",-0.530066389171837,2,"ecto",0,"invert","terrestrial",1,"gut wall","no","no","yes","no","no","no","no",2,"2",NA,NA,NA,NA,1.6,NA,25.5,28,586.5,"all missing","complete",0.00837050142932627,1.6,0.0816151541882711,3.34371874225615e-05,0.0733879294594411,3.34371874225615e-05,25.5,28,586.5
"Abbreviata antarctica","Abbreviata","Physalopteridae","Spirurida","Chromadorea","Nematoda","Abbreviata_antarctica",2,"2","adult","Abbreviata antarctica_2_adult_def","no","def","no",12,"Chordata","Craniata",2.45907689693812,3.13981782529427,"ecto",0,"vert","terrestrial",1,"gut","no","yes","no","no","no","no","no",2,"2",NA,1.6,NA,NA,NA,NA,NA,NA,NA,"all missing","both missing",0.750711029974581,7.34759098266235,0.36067743419292,0.00837050142932627,1.6,0.00837050142932627,48.5167213623716,19.8,718.0474761631
"Abbreviata caucasica","Abbreviata","Physalopteridae","Spirurida","Chromadorea","Nematoda","Abbreviata_caucasica",1,"1","1larv","Abbreviata caucasica_1_1larv_int","no","int","no",2,"Arthropoda","Insecta",-0.206789059114337,2,"ecto",0,"invert","terrestrial",1,"gut wall","no","no","yes","no","no","no","no",2,"2",0.000589048622548086,0.0375,0.03,0.0307684639249472,2.225,0.12,33,25,550,"complete","complete",0.0307684639249472,2.225,0.12,1.76714586764426e-05,0.0375,1.76714586764426e-05,33,25,550
"Abbreviata caucasica","Abbreviata","Physalopteridae","Spirurida","Chromadorea","Nematoda","Abbreviata_caucasica",2,"2","adult","Abbreviata caucasica_2_adult_def","no","def","no",4,"Chordata","Mammalia",3.84888209406123,2.2877330313874,"endo",1,"vert","terrestrial",1,"stomach","no","yes","no","no","no","no","no",2,"2",0.0307684639249472,2.225,0.12,233.165079758617,35.75,2.5,NA,38.5,NA,"complete","both missing",173.384383406681,35.75,2.47748348081985,0.0307684639249472,2.225,0.0307684639249472,148.84867693563,38.5,4986.4306773436
"Abbreviata kazachstanica","Abbreviata","Physalopteridae","Spirurida","Chromadorea","Nematoda","Abbreviata_kazachstanica",1,"1","1larv","Abbreviata kazachstanica_1_1larv_int","no","int","no",26,"Arthropoda","Insecta",-1.00048193049199,2.04166666666667,"ecto",0,"invert","terrestrial",1,"body cavity","yes","no","no","no","no","no","no",3,"3",0.00138806035411109,0.06025,0.044,0.161454545886539,6.7125,0.175,24.5,NA,NA,"complete","temp missing",0.161454545886539,6.7125,0.175,6.1074655580888e-05,0.06025,6.1074655580888e-05,24.5,23.9148538426028,463.413919143768
"Abbreviata kazachstanica","Abbreviata","Physalopteridae","Spirurida","Chromadorea","Nematoda","Abbreviata_kazachstanica",2,"2","2larv","Abbreviata kazachstanica_2_2larv_int","no","int","paratenic",2,"Chordata","Craniata",0.589019339707791,3.11179640929239,"ecto",0,"vert","terrestrial",1,"body cavity","yes","no","no","no","no","no","no",3,"3",0.161454545886539,6.7125,0.175,NA,NA,NA,3.8,NA,58.14,"no end size","complete",0.014946834930481,2.91401463237994,0.080813481033673,0.161454545886539,6.7125,0.161454545886539,3.8,20.3,58.14
"Abbreviata kazachstanica","Abbreviata","Physalopteridae","Spirurida","Chromadorea","Nematoda","Abbreviata_kazachstanica",3,"3","adult","Abbreviata kazachstanica_3_adult_def","no","def","no",1,"Chordata","Craniata",2.65321251377534,3,"ecto",0,"vert","terrestrial",1,"gut","no","yes","no","no","no","no","no",3,"3",NA,NA,NA,1.09680853518454,11.4,0.35,NA,NA,NA,"no start size","both missing",1.09680853518454,11.4,0.35,0.014946834930481,2.91401463237994,0.014946834930481,62.7174676500239,20.7,984.664242105375
"Abbreviata turkomanica","Abbreviata","Physalopteridae","Spirurida","Chromadorea","Nematoda","Abbreviata_turkomanica",1,"1","1larv","Abbreviata turkomanica_1_1larv_int","no","int","no",1,"Arthropoda","Insecta",-0.819242880807227,2,"ecto",0,"invert","terrestrial",1,"body cavity","yes","no","no","no","no","no","no",2,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"all missing","both missing",0.00969602509269638,1.45622344426856,0.092074191787009,0.000493893865967432,0.170252103621212,0.000493893865967432,21.5645567330111,25.3,437.760501680125
"Abbreviata turkomanica","Abbreviata","Physalopteridae","Spirurida","Chromadorea","Nematoda","Abbreviata_turkomanica",2,"2","adult","Abbreviata turkomanica_2_adult_def","no","def","no",3,"Chordata","Craniata",1.44750008622095,2.98339017627222,"ecto",0,"vert","terrestrial",1,"gut","no","yes","no","no","no","no","no",2,"2",NA,NA,NA,NA,22.24,NA,NA,NA,NA,"all missing","both missing",12.4411691907681,22.24,0.843953009055604,0.00969602509269638,1.45622344426856,0.00969602509269638,118.385223038438,20.7,1858.64800170348
"Acanthobothrium brevissime","Acanthobothrium","Onchobothriidae","Tetraphyllidea","Cestoda","Platyhelminthes","Acanthobothrium_brevissime",1,"1","1larv","Acanthobothrium brevissime_1_1larv_int","no","int","no",2,"Mollusca","Bivalvia",0.606105916586893,2,"ecto",0,"invert","aquatic",0,"gut","no","yes","no","no","no","no","no",2,"2",NA,NA,NA,NA,0.655,NA,NA,NA,NA,"all missing","both missing",0.0270300043792617,0.655,0.229222617451261,3.04439642660501e-05,0.0243955299329183,3.04439642660501e-05,20.2547014299786,23.8,380.788386883598
"Acanthobothrium brevissime","Acanthobothrium","Onchobothriidae","Tetraphyllidea","Cestoda","Platyhelminthes","Acanthobothrium_brevissime",2,"2","adult","Acanthobothrium brevissime_2_adult_def","no","def","no",1,"Chordata","Elasmobranchii",3.7086106120658,3.7,"ecto",0,"invert","aquatic",0,"gut","no","yes","no","no","no","no","no",2,"2",NA,0.655,NA,NA,NA,NA,NA,NA,NA,"all missing","both missing",0.929562777849102,4.80083045878622,0.193625412484181,0.0270300043792617,0.655,0.0270300043792617,11.4729736817723,24.2,220.281094690028
